time,temperature_2m,relative_humidity_2m,precipitation,weather_code,cloud_cover,wind_speed_10m,apparent_temperature,datetime,date,hour,weather_description,is_sunny,is_cloudy,is_rainy,weather_impact
2025-09-21T00:00,,,,,,,,2025-09-21 00:00:00,2025-09-21,0,,0,0,0,1.0
2025-09-21T01:00,,,,,,,,2025-09-21 01:00:00,2025-09-21,1,,0,0,0,1.0
2025-09-21T02:00,,,,,,,,2025-09-21 02:00:00,2025-09-21,2,,0,0,0,1.0
2025-09-21T03:00,,,,,,,,2025-09-21 03:00:00,2025-09-21,3,,0,0,0,1.0
2025-09-21T04:00,,,,,,,,2025-09-21 04:00:00,2025-09-21,4,,0,0,0,1.0
2025-09-21T05:00,,,,,,,,2025-09-21 05:00:00,2025-09-21,5,,0,0,0,1.0
2025-09-21T06:00,,,,,,,,2025-09-21 06:00:00,2025-09-21,6,,0,0,0,1.0
2025-09-21T07:00,,,,,,,,2025-09-21 07:00:00,2025-09-21,7,,0,0,0,1.0
2025-09-21T08:00,,,,,,,,2025-09-21 08:00:00,2025-09-21,8,,0,0,0,1.0
2025-09-21T09:00,,,,,,,,2025-09-21 09:00:00,2025-09-21,9,,0,0,0,1.0
2025-09-21T10:00,,,,,,,,2025-09-21 10:00:00,2025-09-21,10,,0,0,0,1.0
2025-09-21T11:00,,,,,,,,2025-09-21 11:00:00,2025-09-21,11,,0,0,0,1.0
2025-09-21T12:00,,,,,,,,2025-09-21 12:00:00,2025-09-21,12,,0,0,0,1.0
2025-09-21T13:00,,,,,,,,2025-09-21 13:00:00,2025-09-21,13,,0,0,0,1.0
2025-09-21T14:00,,,,,,,,2025-09-21 14:00:00,2025-09-21,14,,0,0,0,1.0
2025-09-21T15:00,,,,,,,,2025-09-21 15:00:00,2025-09-21,15,,0,0,0,1.0
2025-09-21T16:00,,,,,,,,2025-09-21 16:00:00,2025-09-21,16,,0,0,0,1.0
2025-09-21T17:00,,,,,,,,2025-09-21 17:00:00,2025-09-21,17,,0,0,0,1.0
2025-09-21T18:00,,,,,,,,2025-09-21 18:00:00,2025-09-21,18,,0,0,0,1.0
2025-09-21T19:00,,,,,,,,2025-09-21 19:00:00,2025-09-21,19,,0,0,0,1.0
2025-09-21T20:00,,,,,,,,2025-09-21 20:00:00,2025-09-21,20,,0,0,0,1.0
2025-09-21T21:00,,,,,,,,2025-09-21 21:00:00,2025-09-21,21,,0,0,0,1.0
2025-09-21T22:00,,,,,,,,2025-09-21 22:00:00,2025-09-21,22,,0,0,0,1.0
2025-09-21T23:00,,,,,,,,2025-09-21 23:00:00,2025-09-21,23,,0,0,0,1.0
2025-09-22T00:00,,,,,,,,2025-09-22 00:00:00,2025-09-22,0,,0,0,0,1.0
2025-09-22T01:00,,,,,,,,2025-09-22 01:00:00,2025-09-22,1,,0,0,0,1.0
2025-09-22T02:00,,,,,,,,2025-09-22 02:00:00,2025-09-22,2,,0,0,0,1.0
2025-09-22T03:00,,,,,,,,2025-09-22 03:00:00,2025-09-22,3,,0,0,0,1.0
2025-09-22T04:00,,,,,,,,2025-09-22 04:00:00,2025-09-22,4,,0,0,0,1.0
2025-09-22T05:00,,,,,,,,2025-09-22 05:00:00,2025-09-22,5,,0,0,0,1.0
2025-09-22T06:00,,,,,,,,2025-09-22 06:00:00,2025-09-22,6,,0,0,0,1.0
2025-09-22T07:00,,,,,,,,2025-09-22 07:00:00,2025-09-22,7,,0,0,0,1.0
2025-09-22T08:00,,,,,,,,2025-09-22 08:00:00,2025-09-22,8,,0,0,0,1.0
2025-09-22T09:00,,,,,,,,2025-09-22 09:00:00,2025-09-22,9,,0,0,0,1.0
2025-09-22T10:00,,,,,,,,2025-09-22 10:00:00,2025-09-22,10,,0,0,0,1.0
2025-09-22T11:00,,,,,,,,2025-09-22 11:00:00,2025-09-22,11,,0,0,0,1.0
2025-09-22T12:00,,,,,,,,2025-09-22 12:00:00,2025-09-22,12,,0,0,0,1.0
2025-09-22T13:00,,,,,,,,2025-09-22 13:00:00,2025-09-22,13,,0,0,0,1.0
2025-09-22T14:00,,,,,,,,2025-09-22 14:00:00,2025-09-22,14,,0,0,0,1.0
2025-09-22T15:00,,,,,,,,2025-09-22 15:00:00,2025-09-22,15,,0,0,0,1.0
2025-09-22T16:00,,,,,,,,2025-09-22 16:00:00,2025-09-22,16,,0,0,0,1.0
2025-09-22T17:00,,,,,,,,2025-09-22 17:00:00,2025-09-22,17,,0,0,0,1.0
2025-09-22T18:00,,,,,,,,2025-09-22 18:00:00,2025-09-22,18,,0,0,0,1.0
2025-09-22T19:00,,,,,,,,2025-09-22 19:00:00,2025-09-22,19,,0,0,0,1.0
2025-09-22T20:00,,,,,,,,2025-09-22 20:00:00,2025-09-22,20,,0,0,0,1.0
2025-09-22T21:00,,,,,,,,2025-09-22 21:00:00,2025-09-22,21,,0,0,0,1.0
2025-09-22T22:00,,,,,,,,2025-09-22 22:00:00,2025-09-22,22,,0,0,0,1.0
2025-09-22T23:00,,,,,,,,2025-09-22 23:00:00,2025-09-22,23,,0,0,0,1.0
2025-09-23T00:00,,,,,,,,2025-09-23 00:00:00,2025-09-23,0,,0,0,0,1.0
2025-09-23T01:00,,,,,,,,2025-09-23 01:00:00,2025-09-23,1,,0,0,0,1.0
2025-09-23T02:00,,,,,,,,2025-09-23 02:00:00,2025-09-23,2,,0,0,0,1.0
2025-09-23T03:00,,,,,,,,2025-09-23 03:00:00,2025-09-23,3,,0,0,0,1.0
2025-09-23T04:00,,,,,,,,2025-09-23 04:00:00,2025-09-23,4,,0,0,0,1.0
2025-09-23T05:00,,,,,,,,2025-09-23 05:00:00,2025-09-23,5,,0,0,0,1.0
2025-09-23T06:00,,,,,,,,2025-09-23 06:00:00,2025-09-23,6,,0,0,0,1.0
2025-09-23T07:00,,,,,,,,2025-09-23 07:00:00,2025-09-23,7,,0,0,0,1.0
2025-09-23T08:00,,,,,,,,2025-09-23 08:00:00,2025-09-23,8,,0,0,0,1.0
2025-09-23T09:00,,,,,,,,2025-09-23 09:00:00,2025-09-23,9,,0,0,0,1.0
2025-09-23T10:00,,,,,,,,2025-09-23 10:00:00,2025-09-23,10,,0,0,0,1.0
2025-09-23T11:00,,,,,,,,2025-09-23 11:00:00,2025-09-23,11,,0,0,0,1.0
2025-09-23T12:00,,,,,,,,2025-09-23 12:00:00,2025-09-23,12,,0,0,0,1.0
2025-09-23T13:00,,,,,,,,2025-09-23 13:00:00,2025-09-23,13,,0,0,0,1.0
2025-09-23T14:00,,,,,,,,2025-09-23 14:00:00,2025-09-23,14,,0,0,0,1.0
2025-09-23T15:00,,,,,,,,2025-09-23 15:00:00,2025-09-23,15,,0,0,0,1.0
2025-09-23T16:00,,,,,,,,2025-09-23 16:00:00,2025-09-23,16,,0,0,0,1.0
2025-09-23T17:00,,,,,,,,2025-09-23 17:00:00,2025-09-23,17,,0,0,0,1.0
2025-09-23T18:00,,,,,,,,2025-09-23 18:00:00,2025-09-23,18,,0,0,0,1.0
2025-09-23T19:00,,,,,,,,2025-09-23 19:00:00,2025-09-23,19,,0,0,0,1.0
2025-09-23T20:00,,,,,,,,2025-09-23 20:00:00,2025-09-23,20,,0,0,0,1.0
2025-09-23T21:00,,,,,,,,2025-09-23 21:00:00,2025-09-23,21,,0,0,0,1.0
2025-09-23T22:00,,,,,,,,2025-09-23 22:00:00,2025-09-23,22,,0,0,0,1.0
2025-09-23T23:00,,,,,,,,2025-09-23 23:00:00,2025-09-23,23,,0,0,0,1.0
2025-09-24T00:00,,,,,,,,2025-09-24 00:00:00,2025-09-24,0,,0,0,0,1.0
2025-09-24T01:00,,,,,,,,2025-09-24 01:00:00,2025-09-24,1,,0,0,0,1.0
2025-09-24T02:00,,,,,,,,2025-09-24 02:00:00,2025-09-24,2,,0,0,0,1.0
2025-09-24T03:00,,,,,,,,2025-09-24 03:00:00,2025-09-24,3,,0,0,0,1.0
2025-09-24T04:00,,,,,,,,2025-09-24 04:00:00,2025-09-24,4,,0,0,0,1.0
2025-09-24T05:00,,,,,,,,2025-09-24 05:00:00,2025-09-24,5,,0,0,0,1.0
2025-09-24T06:00,,,,,,,,2025-09-24 06:00:00,2025-09-24,6,,0,0,0,1.0
2025-09-24T07:00,,,,,,,,2025-09-24 07:00:00,2025-09-24,7,,0,0,0,1.0
2025-09-24T08:00,,,,,,,,2025-09-24 08:00:00,2025-09-24,8,,0,0,0,1.0
2025-09-24T09:00,,,,,,,,2025-09-24 09:00:00,2025-09-24,9,,0,0,0,1.0
2025-09-24T10:00,,,,,,,,2025-09-24 10:00:00,2025-09-24,10,,0,0,0,1.0
2025-09-24T11:00,,,,,,,,2025-09-24 11:00:00,2025-09-24,11,,0,0,0,1.0
2025-09-24T12:00,,,,,,,,2025-09-24 12:00:00,2025-09-24,12,,0,0,0,1.0
2025-09-24T13:00,,,,,,,,2025-09-24 13:00:00,2025-09-24,13,,0,0,0,1.0
2025-09-24T14:00,,,,,,,,2025-09-24 14:00:00,2025-09-24,14,,0,0,0,1.0
2025-09-24T15:00,,,,,,,,2025-09-24 15:00:00,2025-09-24,15,,0,0,0,1.0
